Titlu,Autor,Topic,Temă,Tema1,Tema2,Tema3,Scor
dacă vii de pe altă planetă invidia ta e inutilă,andrei_dosa,3,self-referentiality (ars poetica),eco-consciousness,philosophical & ontological inquiry,love & intimacy,0
acalmie,andrei_dosa,6,digital realities & posthumanism,digital realities & posthumanism,identity & otherness,mundane & daily life,100
euforia sufocării,andrei_dosa,2,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,mundane & daily life,0
despre combaterea efectului de seră,andrei_dosa,1,interconnected structures,digital realities & posthumanism,identity & otherness,mundane & daily life,0
eram cu mama când a căzut,andrei_dosa,7,love & intimacy,interconnected structures,identity & otherness,mundane & daily life,0
ii,teodora_coman,3,self-referentiality (ars poetica),digital realities & posthumanism,identity & otherness,mundane & daily life,0
sagrada familia,andrei_mocuta,2,philosophical & ontological inquiry,philosophical & ontological inquiry,identity & otherness,self-referentiality (ars poetica),100
2029,andrei_mocuta,1,interconnected structures,digital realities & posthumanism,identity & otherness,interconnected structures,25
capsula timpului,andrei_mocuta,3,self-referentiality (ars poetica),self-referentiality (ars poetica),identity & otherness,interconnected structures,100
o lansare de carte,andrei_mocuta,5,eco-consciousness,identity & otherness,interconnected structures,mundane & daily life,0
trăiesc de trei ani cu o fantomă,andrei_mocuta,3,self-referentiality (ars poetica),philosophical & ontological inquiry,identity & otherness,interconnected structures,0
esențialul,andrei_mocuta,1,interconnected structures,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,0
muzeul figurilor de ceară,andrei_mocuta,0,identity & otherness,identity & otherness,philosophical & ontological inquiry,self-referentiality (ars poetica),100
cosmin lungu,andrei_mocuta,2,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,self-referentiality (ars poetica),50
homer,andrei_mocuta,3,self-referentiality (ars poetica),self-referentiality (ars poetica),philosophical & ontological inquiry,interconnected structures,100
2065,andrei_mocuta,2,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,interconnected structures,0
odă reginei estera de pe capota cadillacului,andrei_mocuta,5,eco-consciousness,love & intimacy,identity & otherness,interconnected structures,0
2028,andrei_mocuta,1,interconnected structures,digital realities & posthumanism,identity & otherness,interconnected structures,25
abalo,andrei_mocuta,0,identity & otherness,philosophical & ontological inquiry,interconnected structures,identity & otherness,25
maşina de tuns iarba,andrei_mocuta,2,philosophical & ontological inquiry,identity & otherness,interconnected structures,mundane & daily life,0
poem corect politic,andrei_mocuta,7,love & intimacy,interconnected structures,identity & otherness,philosophical & ontological inquiry,0
2043,andrei_mocuta,3,self-referentiality (ars poetica),digital realities & posthumanism,identity & otherness,interconnected structures,0
femei între două vârste,andrei_mocuta,7,love & intimacy,love & intimacy,philosophical & ontological inquiry,interconnected structures,100
număr de înmatriculare,andrei_mocuta,2,philosophical & ontological inquiry,digital realities & posthumanism,love & intimacy,interconnected structures,0
fotbal şi poezie,andrei_mocuta,2,philosophical & ontological inquiry,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,25
blanca,andrei_mocuta,2,philosophical & ontological inquiry,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,25
două inimi,andrei_mocuta,0,identity & otherness,identity & otherness,love & intimacy,philosophical & ontological inquiry,100
ce rămâne,andrei_mocuta,2,philosophical & ontological inquiry,philosophical & ontological inquiry,interconnected structures,identity & otherness,100
ziua cărţii,andrei_mocuta,1,interconnected structures,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,0
2020,andrei_mocuta,7,love & intimacy,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,0
un poem pe-o cravată nouă,andrei_mocuta,3,self-referentiality (ars poetica),self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,100
lungul nasului,andrei_mocuta,7,love & intimacy,love & intimacy,identity & otherness,mundane & daily life,100
rezistenţa pe hârtie,andrei_mocuta,1,interconnected structures,love & intimacy,philosophical & ontological inquiry,interconnected structures,25
2046,andrei_mocuta,2,philosophical & ontological inquiry,identity & otherness,mundane & daily life,love & intimacy,0
café de flore,andrei_mocuta,3,self-referentiality (ars poetica),interconnected structures,philosophical & ontological inquiry,identity & otherness,0
un destin mai fericit,andrei_mocuta,5,eco-consciousness,self-referentiality (ars poetica),identity & otherness,mundane & daily life,0
poem în duet,andrei_mocuta,2,philosophical & ontological inquiry,philosophical & ontological inquiry,interconnected structures,digital realities & posthumanism,100
aye,andrei_mocuta,2,philosophical & ontological inquiry,philosophical & ontological inquiry,interconnected structures,digital realities & posthumanism,100
"pis, pis, pis",andrei_mocuta,5,eco-consciousness,philosophical & ontological inquiry,identity & otherness,self-referentiality (ars poetica),0
2027,andrei_mocuta,3,self-referentiality (ars poetica),digital realities & posthumanism,identity & otherness,interconnected structures,0
2066,andrei_mocuta,6,digital realities & posthumanism,digital realities & posthumanism,identity & otherness,interconnected structures,100
2031,andrei_mocuta,1,interconnected structures,mundane & daily life,identity & otherness,love & intimacy,0
2030,andrei_mocuta,3,self-referentiality (ars poetica),digital realities & posthumanism,philosophical & ontological inquiry,interconnected structures,0
2026,andrei_mocuta,1,interconnected structures,digital realities & posthumanism,philosophical & ontological inquiry,identity & otherness,0
teatrul dintre lumi,andrei_mocuta,2,philosophical & ontological inquiry,love & intimacy,philosophical & ontological inquiry,identity & otherness,50
antonio gaudi,andrei_mocuta,0,identity & otherness,philosophical & ontological inquiry,eco-consciousness,identity & otherness,25
xl,andrei_mocuta,2,philosophical & ontological inquiry,identity & otherness,self-referentiality (ars poetica),mundane & daily life,0
scurt schimb de priviri cu o catalană,andrei_mocuta,5,eco-consciousness,love & intimacy,identity & otherness,interconnected structures,0
